District,School,num.outlets,outletsUnder15,outletsOver15,oos,BEDS,School Street ,School City,School State,percent.bad
LIVERPOOL CENTRAL SCHOOL,ELMCREST ELEM SCHOOL,66,52,14,Yes,421501060004,350 WOODS PATH RD,LIVERPOOL,NY,21.2
NORTH SYRACUSE CENTRAL SCHOOL,ROXBORO ROAD ELEM SCHOOL,73,117,0,No,420303060007,200 BERNARD ST,MATTYDALE,NY,0.0
NORTH SYRACUSE CENTRAL SCHOOL,CICERO-NO SYRACUSE H S,163,186,75,Yes,420303060014,6002 RT 31,CICERO,NY,46.0
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL HIGH SCHOOL,166,118,48,Yes,421501060011,4338 WETZEL RD,LIVERPOOL,NY,28.9
JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE-DEWITT H S,137,128,6,Yes,420411060006,EDINGER DR,DEWITT,NY,4.4
JAMESVILLE-DEWITT CENTRAL SCHOOL,TECUMSEH ELEMENTARY SCHOOL,93,92,1,Yes,420411060004,NOTTINGHAM RD,JAMESVILLE,NY,1.1
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL ELEMENTARY SCHOOL,40,40,0,No,421501060010,910 SECOND ST.,LIVERPOOL,NY,0.0
LIVERPOOL CENTRAL SCHOOL,MORGAN ROAD ELEMENTARY,22,22,0,No,421501060012,7795 MORGAN ROAD,LIVERPOOL,NY,0.0
LIVERPOOL CENTRAL SCHOOL,SOULE ROAD MIDDLE SCHOOL,72,72,0,No,421501060014,SOULE ROAD MIDDLE SCHOOL,LIVERPOOL,NY,0.0
NORTH SYRACUSE CENTRAL SCHOOL,LAKESHORE ROAD ELEMENTARY SCHOOL,82,100,27,Yes,420303060004,7180 LAKESHORE RD,CICERO,NY,32.9
LYNCOURT UNION FREE SCHOOL,LYNCOURT SCHOOL,58,76,3,Yes,421504020001,2707-09 COURT ST,SYRACUSE,NY,5.2
NORTH SYRACUSE CENTRAL SCHOOL,ALLEN ROAD ELEM SCHOOL,55,34,0,No,420303060001,803 ALLEN RD,NO SYRACUSE,NY,0.0
LIVERPOOL CENTRAL SCHOOL,CHESTNUT HILL ES (for lead survey- CHESTNUT HILL MS @ CHE 2016-17),58,56,2,Yes,421501060009,200 SASLON PARK DR,LIVERPOOL,NY,3.4
NORTH SYRACUSE CENTRAL SCHOOL,BEAR ROAD ELEM SCHOOL,79,143,6,Yes,420303060002,5590 BEAR RD,NO SYRACUSE,NY,7.6
JORDAN ELBRIDGE CENTRAL SCHOOL,JORDAN ELBRIDGE MS,0,41,1,Yes,420501060004,9 CHAPPELL ST,JORDAN,NY,#DIV/0!
LA FAYETTE CENTRAL SCHOOL,ONONDAGA NATION SCH,50,53,0,No,420807040002,RD 1-BOX 270,NEDROW,NY,0.0
LIVERPOOL CENTRAL SCHOOL,DONLIN DRIVE,57,57,0,No,421501060016,DONLIN DRIVE,LIVERPOOL,NY,0.0
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL ANNEX,56,55,1,Yes,421501060006,4338 WETZEL RD,LIVERPOOL,NY,1.8
LIVERPOOL CENTRAL SCHOOL,"CHESTNUT HILL ES @ WETZEL ROAD ES (for lead survey, temp 2016-17)",50,47,3,Yes,421501060007,4246 WETZEL ROAD,LIVERPOOL,NY,6.0
JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE ELEM SCHOOL,99,96,3,Yes,420411060002,E SENECA TPKE,JAMESVILLE,NY,3.0
JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE-DEWITT MID SCH,177,175,2,Yes,420411060005,RANDALL RD,JAMESVILLE,NY,1.1
NORTH SYRACUSE CENTRAL SCHOOL,SMITH ROAD ELEM SCHOOL,83,127,5,Yes,420303060008,5959 SMITH RD,NO SYRACUSE,NY,6.0
LIVERPOOL CENTRAL SCHOOL,NATE PERRY ELEM. SCHOOL,59,59,0,No,421501060001,7053 BUCKLEY RD,LIVERPOOL,NY,0.0
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL MIDDLE SCHOOL,52,52,0,No,421501060005,720 SEVENTH ST,LIVERPOOL,NY,0.0
NORTH SYRACUSE CENTRAL SCHOOL,NORTH SYRACUSE JHS,114,136,25,Yes,420303060010,5353 W TAFT RD,NO SYRACUSE,NY,21.9
NORTH SYRACUSE CENTRAL SCHOOL,MAIN ST EARLY EDUCATION PROGRAM,22,8,0,No,420303060015,205 South Main Street,NO SYRACUSE,NY,0.0
MARCELLUS CENTRAL SCHOOL,C S DRIVER MIDDLE SCHOOL,30,97,23,Yes,421101060004,REED PKY,MARCELLUS,NY,76.7
LIVERPOOL CENTRAL SCHOOL,WILLOW FIELD SCHOOL,50,50,0,No,421501060019,WILLOW FIELD SCHOOL,LIVERPOOL,NY,0.0
NORTH SYRACUSE CENTRAL SCHOOL,CICERO ELEM SCHOOL,94,138,0,No,420303060003,5979 RT 31,CICERO,NY,0.0
LIVERPOOL CENTRAL SCHOOL,LONG BRANCH ELEM SCHOOL,56,55,1,Yes,421501060015,4035 LONG BRANCH RD,LIVERPOOL,NY,1.8
MARCELLUS CENTRAL SCHOOL,MARCELLUS H S,30,9,4,Yes,421101060003,REED PKY,MARCELLUS,NY,13.3
MARCELLUS CENTRAL SCHOOL,K C HEFFERNAN ELEM SCHOOL,52,83,6,Yes,421101060001,2 LEARNERS LANDING,MARCELLUS,NY,11.5
SYRACUSE CITY SCHOOLS,CORCORAN HIGH SCHOOL,127,,,No,421800010033,919 GLENWOOD AVE,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,FRAZER SCHOOL,85,80,5,Yes,421800010022,741 PARK AVE,SYRACUSE,NY,5.9
SOLVAY UNION FREE SCHOOL,SOLVAY ELEM SCHOOL,10,76,2,Yes,420702030001,701 WOODS RD,SOLVAY,NY,20.0
SYRACUSE CITY SCHOOLS,DELAWARE SCHOOL,78,69,16,Yes,421800010041,900 S GEDDES ST,SYRACUSE,NY,20.5
SYRACUSE CITY SCHOOLS,FRANKLIN SCHOOL,89,88,1,Yes,421800010021,428 S ALVORD ST,SYRACUSE,NY,1.1
WESTHILL CENTRAL SCHOOL,CHERRY ROAD ELEM SCHOOL,104,95,9,Yes,420701060002,201 CHERRY RD,SYRACUSE,NY,8.7
SYRACUSE CITY SCHOOLS,CLARY MIDDLE SCHOOL,72,69,3,Yes,421800010003,100 AMIDON DR,SYRACUSE,NY,4.2
SYRACUSE CITY SCHOOLS,HENNINGER H S,129,,,No,421800010040,600 ROBINSON ST,SYRACUSE,NY,0.0
WEST GENESEE CSD AT CAMILLUS,EAST HILL ELEM SCHOOL,92,96,1,Yes,420101060001,401 BLACKMORE RD,CAMILLUS,NY,1.1
SYRACUSE CITY SCHOOLS,FORMER JAMES A. SHEA MS (CORE PROGRAM) (LEAD ONLY),60,46,14,Yes,421800010045,1607 S. GEDDES ST.,SYRACUSE,NY,23.3
SYRACUSE CITY SCHOOLS,MEACHEM SCHOOL,82,79,3,Yes,421800010011,171 SPAULDING AVE,SYRACUSE,NY,3.7
SYRACUSE CITY SCHOOLS,EDWARD SMITH SCHOOL,74,64,10,Yes,421800010008,LANCASTER AVE+BROAD S,SYRACUSE,NY,13.5
SYRACUSE CITY SCHOOLS,FORMER ELMWOOD ELEMENTARY SCHOOL (LEAD ONLY),60,,,No,421800010029,1728 SOUTH AVE.,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,ROBERTS SCHOOL,82,81,1,Yes,421800010010,715 GLENWOOD AVE,SYRACUSE,NY,1.2
SYRACUSE CITY SCHOOLS,BELLEVUE SCHOOL,67,61,6,Yes,421800010004,530 STOLP AVE,SYRACUSE,NY,9.0
SYRACUSE CITY SCHOOLS,SALEM HYDE SCHOOL,69,66,3,Yes,421800010013,450 DURSTON AVE,SYRACUSE,NY,4.3
SYRACUSE CITY SCHOOLS,DR EDWIN E WEEKS SCHOOL,157,157,0,No,421800010052,710 Hawley Ave.,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,NOTTINGHAM H S,168,,,No,421800010039,3100 E GENESEE ST,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,GRANT MIDDLE SCHOOL,111,,,No,421800010035,2400 GRANT BLVD,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,JOHNSON VOCATIONAL CENTER,30,,,No,421800010067,573 E. GENESEE ST.,SYRACUSE,NY,0.0
SYRACUSE CITY SCHOOLS,DANFORTH MAGNET SCHOOL,75,75,0,Yes,421800010020,309 W BRIGHTON AVE,SYRACUSE,NY,0.0
WEST GENESEE CSD AT CAMILLUS,SPLIT ROCK ELEM SCHOOL,85,86,5,Yes,420101060006,4151 SPLIT ROCK RD,CAMILLUS,NY,5.9
WESTHILL CENTRAL SCHOOL,ONONDAGA HILL MIDDLE SCHOOL,111,108,3,Yes,420701060004,4860 ONONDAGA RD,SYRACUSE,NY,2.7
SKANEATELES CENTRAL SCHOOL,SKANEATELES S H S,133,112,21,Yes,421601060002,49 E ELIZABETH ST,SKANEATELES,NY,15.8
SYRACUSE CITY SCHOOLS,HUNTINGTON SCHOOL,83,78,5,Yes,421800010015,400 SUNNYCREST RD,SYRACUSE,NY,6.0
SYRACUSE CITY SCHOOLS,LINCOLN MIDDLE SCHOOL,91,81,10,Yes,421800010048,1613 JAMES ST,SYRACUSE,NY,11.0
SYRACUSE CITY SCHOOLS,DR. KING SCHOOL,176,172,3,Yes,421800010018,416 E RAYNOR AVE,SYRACUSE,NY,1.7
SKANEATELES CENTRAL SCHOOL,SKANEATELES MIDDLE SCHOOL,76,60,16,Yes,421601060005,EAST ST,SKANEATELES,NY,21.1
