sw,tier,Gender,Ethnicity,IEP,ELL,enrolled15,absences15,presences15,enrolled16,absences16,presences16
1,Middle,Male,White,Yes,0,118,2,116,316,11,305
1,Middle,Male,White,Yes,1,3,0,3,2,0,2
1,Other,Female,Black,No,0,486,56,430,1087,103,984
1,Other,Female,Black,No,1,22,2,20,54,8,46
1,Other,Female,Black,Yes,0,75,13,62,143,16,127
1,Other,Female,Black,Yes,1,2,0,2,4,0,4
1,Other,Female,Hispanic,No,0,159,16,143,328,38,290
1,Other,Female,Hispanic,No,1,183,32,151,370,66,304
1,Other,Female,Hispanic,Yes,0,17,2,15,42,10,32
1,Other,Female,Hispanic,Yes,1,41,9,32,82,19,63
1,Other,Female,Other,No,0,57,8,49,158,14,144
1,Other,Female,Other,No,1,33,0,33,82,4,78
1,Other,Female,Other,Yes,0,10,0,10,22,0,22
1,Other,Female,Other,Yes,1,3,1,2,4,0,4
1,Other,Female,White,No,0,150,19,131,337,27,310
1,Other,Female,White,No,1,12,2,10,26,6,20
1,Other,Female,White,Yes,0,29,0,29,81,7,74
1,Other,Female,White,Yes,1,2,1,1,4,2,2
1,Other,Male,Black,No,0,475,45,430,1054,113,941
1,Other,Male,Black,No,1,19,3,16,70,4,66
1,Other,Male,Black,Yes,0,180,20,160,352,42,310
1,Other,Male,Black,Yes,1,4,1,3,12,0,12
1,Other,Male,Hispanic,No,0,145,19,126,279,34,245
1,Other,Male,Hispanic,No,1,189,41,148,360,56,304
1,Other,Male,Hispanic,Yes,0,54,11,43,116,20,96
1,Other,Male,Hispanic,Yes,1,104,29,75,212,37,175
1,Other,Male,Other,No,0,52,5,47,149,11,138
1,Other,Male,Other,No,1,31,0,31,70,2,68
1,Other,Male,Other,Yes,0,26,3,23,54,5,49
1,Other,Male,White,No,0,171,14,157,369,32,337
1,Other,Male,White,No,1,8,1,7,20,5,15
1,Other,Male,White,Yes,0,93,7,86,188,19,169
1,Other,Male,White,Yes,1,4,1,3,14,3,11
2,Elementary,Female,Black,No,0,8160,768,7392,7614,578,7036
2,Elementary,Female,Black,No,1,1042,88,954,1146,122,1024
2,Elementary,Female,Black,Yes,0,1473,134,1339,1401,143,1258
2,Elementary,Female,Black,Yes,1,45,0,45,35,3,32
2,Elementary,Female,Hispanic,No,0,1300,141,1159,1253,103,1150
2,Elementary,Female,Hispanic,No,1,386,44,342,305,29,276
2,Elementary,Female,Hispanic,Yes,0,267,50,217,251,20,231
2,Elementary,Female,Hispanic,Yes,1,125,30,95,135,12,123
2,Elementary,Female,Other,No,0,1945,187,1758,2108,174,1934
2,Elementary,Female,Other,No,1,1385,124,1261,1406,108,1298
2,Elementary,Female,Other,Yes,0,320,32,288,359,39,320
2,Elementary,Female,Other,Yes,1,45,6,39,65,4,61
2,Elementary,Female,White,No,0,4158,302,3856,3861,308,3553
2,Elementary,Female,White,No,1,404,39,365,434,40,394
2,Elementary,Female,White,Yes,0,1112,101,1011,1031,96,935
2,Elementary,Female,White,Yes,1,25,0,25,20,0,20
2,Elementary,Male,Black,No,0,7410,658,6752,7013,492,6521
2,Elementary,Male,Black,No,1,1071,115,956,1063,85,978
2,Elementary,Male,Black,Yes,0,3087,320,2767,3175,240,2935
2,Elementary,Male,Black,Yes,1,159,15,144,140,21,119
2,Elementary,Male,Hispanic,No,0,1209,90,1119,1251,116,1135
2,Elementary,Male,Hispanic,No,1,384,30,354,393,41,352
2,Elementary,Male,Hispanic,Yes,0,438,34,404,498,64,434
2,Elementary,Male,Hispanic,Yes,1,175,21,154,145,13,132
2,Elementary,Male,Other,No,0,1770,179,1591,1933,185,1748
2,Elementary,Male,Other,No,1,1572,161,1411,1686,112,1574
2,Elementary,Male,Other,Yes,0,622,76,546,698,88,610
2,Elementary,Male,Other,Yes,1,96,6,90,95,10,85
2,Elementary,Male,White,No,0,3490,362,3128,3236,252,2984
2,Elementary,Male,White,No,1,428,31,397,515,45,470
2,Elementary,Male,White,Yes,0,2065,228,1837,1849,116,1733
