"","School.x","BEDS","District","County","num.outlets","pbfreeBuildings","samplingComplete","completionDate","outletsOver15","outletsUnder15","oos","street","city","state","address","School.y","short"
"22","WOODLAND ELEM SCHOOL",420401060004,"EAST SYRACUSE-MINOA CENTRAL SCHOOL","Onondaga",74,"No","Yes","9/20/2016",74,0,"No","6316 FREMONT RD","EAST SYRACUSE","NY","6316 FREMONT RD, EAST SYRACUSE, NY","Woodland Elementary School","Elementary/Middle"
"23","E SYRACUSE MINOA CENTRAL H S",420401060005,"EAST SYRACUSE-MINOA CENTRAL SCHOOL","Onondaga",228,"No","Yes","10/28/2016",183,45,"Yes","6400 FREMONT RD","E SYRACUSE","NY","6400 FREMONT RD, E SYRACUSE, NY","East Syracuse-minoa Central High School","High School"
"24","MINOA ELEM SCHOOL",420401060009,"EAST SYRACUSE-MINOA CENTRAL SCHOOL","Onondaga",88,"No","Yes","9/21/2016",82,6,"Yes","501 MAIN ST","MINOA","NY","501 MAIN ST, MINOA, NY","Minoa Elementary School","Elementary/Middle"
"25","PINE GROVE MIDDLE SCHOOL",420401060010,"EAST SYRACUSE-MINOA CENTRAL SCHOOL","Onondaga",128,"No","Yes","10/28/2016",122,6,"Yes","600 N. Main St.","Minoa","NY","600 N. Main St., Minoa, NY","Pine Grove Middle School","Elementary/Middle"
"26","JAMESVILLE ELEM SCHOOL",420411060002,"JAMESVILLE-DEWITT CENTRAL SCHOOL","Onondaga",99,"No","Yes","9/23/2016",96,3,"Yes","E SENECA TPKE","JAMESVILLE","NY","E SENECA TPKE, JAMESVILLE, NY","Jamesville Elementary School","Elementary/Middle"
"27","MOSES DEWITT ELEM SCHOOL",420411060003,"JAMESVILLE-DEWITT CENTRAL SCHOOL","Onondaga",52,"No","Yes","9/21/2016",49,3,"Yes","JAMESVILLE RD","DEWITT","NY","JAMESVILLE RD, DEWITT, NY","Moses Dewitt Elementary School","Elementary/Middle"
"28","TECUMSEH ELEMENTARY SCHOOL",420411060004,"JAMESVILLE-DEWITT CENTRAL SCHOOL","Onondaga",93,"No","Yes","9/22/2016",92,1,"Yes","NOTTINGHAM RD","JAMESVILLE","NY","NOTTINGHAM RD, JAMESVILLE, NY","Tecumseh Elementary School","Elementary/Middle"
"29","JAMESVILLE-DEWITT MID SCH",420411060005,"JAMESVILLE-DEWITT CENTRAL SCHOOL","Onondaga",177,"No","Yes","9/20/2016",175,2,"Yes","RANDALL RD","JAMESVILLE","NY","RANDALL RD, JAMESVILLE, NY","Jamesville-dewitt Middle School","Elementary/Middle"
"30","JAMESVILLE-DEWITT H S",420411060006,"JAMESVILLE-DEWITT CENTRAL SCHOOL","Onondaga",137,"No","Yes","10/21/2016",128,6,"Yes","EDINGER DR","DEWITT","NY","EDINGER DR, DEWITT, NY","Jamesville-dewitt High School","High School"
"31","ELBRIDGE ELEM SCHOOL",420501060001,"JORDAN ELBRIDGE CENTRAL SCHOOL","Onondaga",115,"No","Yes","11/5/2016",37,0,"Yes","130 E  MAIN ST","ELBRIDGE","NY","130 E  MAIN ST, ELBRIDGE, NY","Elbridge Elementary School","Elementary/Middle"
"32","JORDAN ELBRIDGE HIGH SCHOOL",420501060003,"JORDAN ELBRIDGE CENTRAL SCHOOL","Onondaga",70,"No","No","",29,3,"Yes","5721 Hamilton Rd","Jordan","NY","5721 Hamilton Rd, Jordan, NY","Jordan-elbridge High School","Elementary/Middle"
