"","School.x","BEDS","District","County","num.outlets","pbfreeBuildings","samplingComplete","completionDate","outletsOver15","outletsUnder15","oos","street","city","state","address","School.y","short"
"94","HUNTINGTON SCHOOL",421800010015,"SYRACUSE CITY SCHOOLS","Onondaga",83,"No","Yes","9/25/2016",78,5,"Yes","400 SUNNYCREST RD","SYRACUSE","NY","400 SUNNYCREST RD, SYRACUSE, NY","Huntington K-8 School","Elementary/Middle"
"95","DR. KING SCHOOL",421800010018,"SYRACUSE CITY SCHOOLS","Onondaga",176,"No","Yes","9/25/2016",172,3,"Yes","416 E RAYNOR AVE","SYRACUSE","NY","416 E RAYNOR AVE, SYRACUSE, NY","Dr King Elementary School","Elementary/Middle"
"96","DANFORTH MAGNET SCHOOL",421800010020,"SYRACUSE CITY SCHOOLS","Onondaga",75,"No","Yes","10/7/2016",75,0,"Yes","309 W BRIGHTON AVE","SYRACUSE","NY","309 W BRIGHTON AVE, SYRACUSE, NY","Danforth Middle School","Elementary/Middle"
"97","FRANKLIN SCHOOL",421800010021,"SYRACUSE CITY SCHOOLS","Onondaga",89,"No","Yes","9/17/2016",88,1,"Yes","428 S ALVORD ST","SYRACUSE","NY","428 S ALVORD ST, SYRACUSE, NY","Franklin Elementary School","Elementary/Middle"
"98","FRAZER SCHOOL",421800010022,"SYRACUSE CITY SCHOOLS","Onondaga",85,"No","Yes","9/24/2016",80,5,"Yes","741 PARK AVE","SYRACUSE","NY","741 PARK AVE, SYRACUSE, NY",NA,NA
"99","PERCY HUGHES SCHOOL",421800010025,"SYRACUSE CITY SCHOOLS","Onondaga",98,"No","Yes","9/28/2016",97,1,"Yes","345 JAMESVILLE AVE","SYRACUSE","NY","345 JAMESVILLE AVE, SYRACUSE, NY","Hughes Elementary School","Elementary/Middle"
"100","PORTER MAGNET SCHOOL",421800010027,"SYRACUSE CITY SCHOOLS","Onondaga",69,"No","Yes","9/27/2016",57,12,"Yes","512 EMERSON AVE","SYRACUSE","NY","512 EMERSON AVE, SYRACUSE, NY",NA,NA
"101","SEYMOUR SCHOOL",421800010028,"SYRACUSE CITY SCHOOLS","Onondaga",57,"No","Yes","9/24/2016",56,1,"Yes","108 SHONNARD ST","SYRACUSE","NY","108 SHONNARD ST, SYRACUSE, NY","Seymour Dual Language Academy","Elementary/Middle"
"102","H W SMITH ELEM SCHOOL",421800010031,"SYRACUSE CITY SCHOOLS","Onondaga",132,"No","Yes","9/25/2016",129,3,"Yes","1130 SALT SPRINGS RD","SYRACUSE","NY","1130 SALT SPRINGS RD, SYRACUSE, NY","Hurlbut W Smith K-8 School","Elementary/Middle"
"103","DELAWARE SCHOOL",421800010041,"SYRACUSE CITY SCHOOLS","Onondaga",78,"No","Yes","9/28/2016",69,16,"Yes","900 S GEDDES ST","SYRACUSE","NY","900 S GEDDES ST, SYRACUSE, NY","Delaware Academy","Elementary/Middle"
"104","MCKINLEY-BRGHTON MAGNET SCH",421800010042,"SYRACUSE CITY SCHOOLS","Onondaga",124,"No","Yes","9/29/2016",123,1,"Yes","141 W. NEWELL ST","SYRACUSE","NY","141 W. NEWELL ST, SYRACUSE, NY","Mckinley-brighton Elementary School","Elementary/Middle"
"105","WEBSTER SCHOOL",421800010043,"SYRACUSE CITY SCHOOLS","Onondaga",51,"No","Yes","9/16/2016",51,0,"No","500 WADSWORTH ST","SYRACUSE","NY","500 WADSWORTH ST, SYRACUSE, NY","Webster Elementary School","Elementary/Middle"
"106","FORMER JAMES A. SHEA MS (CORE PROGRAM) (LEAD ONLY)",421800010045,"SYRACUSE CITY SCHOOLS","Onondaga",60,"No","Yes","10/21/2016",46,14,"Yes","1607 S. GEDDES ST.","SYRACUSE","NY","1607 S. GEDDES ST., SYRACUSE, NY",NA,NA
"107","LINCOLN MIDDLE SCHOOL",421800010048,"SYRACUSE CITY SCHOOLS","Onondaga",91,"No","Yes","10/7/2016",81,10,"Yes","1613 JAMES ST","SYRACUSE","NY","1613 JAMES ST, SYRACUSE, NY","Lincoln Middle School","Elementary/Middle"
"108","DR EDWIN E WEEKS SCHOOL",421800010052,"SYRACUSE CITY SCHOOLS","Onondaga",157,"No","Yes","9/25/2016",157,0,"No","710 Hawley Ave.","SYRACUSE","NY","710 Hawley Ave., SYRACUSE, NY",NA,NA
"109","MCCARTHY AT BEARD",421800010053,"SYRACUSE CITY SCHOOLS","Onondaga",24,"No","Yes","9/23/2016",22,2,"Yes","220 W KENNEDY ST","SYRACUSE","NY","220 W KENNEDY ST, SYRACUSE, NY",NA,NA
"110","THE EXPEDITIONARY LEARNING SCHOOL",421800010058,"SYRACUSE CITY SCHOOLS","Onondaga",38,"No","Yes","10/14/2016",34,4,"Yes","4942 SOUTH SALINA STREET","SYRACUSE","NY","4942 SOUTH SALINA STREET, SYRACUSE, NY","Expeditionary Learning Middle School","Elementary/Middle"
"111","WEST SIDE ACADEMY AT BLODGETT",421800010060,"SYRACUSE CITY SCHOOLS","Onondaga",74,"No","Yes","10/25/2016",54,20,"Yes","312 OSWEGO ST","SYRACUSE","NY","312 OSWEGO ST, SYRACUSE, NY","Westside Academy At Blodgett","Elementary/Middle"
"112","TULLY J S H S",421902040001,"TULLY CENTRAL SCHOOL","Onondaga",166,"No","Yes","10/26/2016",130,23,"Yes","ELM ST","TULLY","NY","ELM ST, TULLY, NY","Tully Junior-senior High School","Elementary/Middle"
"113","TULLY J S H S",421902040001,"TULLY CENTRAL SCHOOL","Onondaga",166,"No","Yes","10/26/2016",130,23,"Yes","ELM ST","TULLY","NY","ELM ST, TULLY, NY","Tully Junior-senior High School","High School"
"114","TULLY ELEM SCHOOL",421902040002,"TULLY CENTRAL SCHOOL","Onondaga",108,"No","Yes","9/28/2016",71,12,"Yes","20 STATE ST","TULLY","NY","20 STATE ST, TULLY, NY","Tully Elementary School","Elementary/Middle"
"115","ONONDAGA-CORTLAND-MADISON BOCES - HENRY CAREER & TECH EDUC BLDG",429000000008,"BOCES No District Name","Onondaga",61,"No","Yes","9/27/2016",60,1,"Yes","6820 THOMPSON RD","SYRACUSE","NY","6820 THOMPSON RD, SYRACUSE, NY",NA,NA
"116","ONONDAGA-CORTLAND-MADISON BOCES - ALTERNATIVE HIGH SCHOOL AT HENRY",429000000014,"BOCES No District Name","Onondaga",17,"No","Yes","10/18/2016",17,0,"Yes","6820 THOMPSON RD","SYRACUSE","NY","6820 THOMPSON RD, SYRACUSE, NY",NA,NA
"117","ONONDAGA-CORTLAND-MADISON BOCES - CROWN ROAD CAMPUS",429000008003,"BOCES No District Name","Onondaga",63,"No","Yes","9/23/2016",62,1,"Yes","4500 CROWN RD","LIVERPOOL","NY","4500 CROWN RD, LIVERPOOL, NY",NA,NA
